id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1287560105999777793,1287560105999777793,1595813225000,2020-07-27,08:27:05,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:5, 27/07/2020 05:01:23 (Pusat gempa di laut 89 km Timur Laut Nias Selatan), Kedlmn:10 Km Dirasakan (MMI) II Aek Godang, #BMKG",[],[],[],0,10,42,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287560105999777793,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287559797538136064,1287559797538136064,1595813152000,2020-07-27,08:25:52,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:5.0, 27-Jul-20 05:01:23 WIB, Lok:0.67 LU, 98.61 BT (Pusat gempa berada di laut 89 km Timur Laut Nias Selatan), Kedlmn:10 Km Dirasakan (MMI) II Aek Godang #BMKG pic.twitter.com/1RUwAOKqWc",[],[],['https://pbs.twimg.com/media/Ed5Uz9eVAAAZmPO.jpg'],2,17,49,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287559797538136064,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287510275810160640,1287510275810160640,1595801345000,2020-07-27,05:09:05,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:5.0, 27-Jul-20 05:01:23 WIB, Lok:0.67 LU,98.61 BT (89 km TimurLaut NIASSELATAN-SUMUT), Kedalaman:10 Km, tidak berpotensi tsunami #BMKG",[],[],[],0,24,79,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287510275810160640,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287509492846845952,1287509492846845952,1595801158000,2020-07-27,05:05:58,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:5.0, 27-Jul-20 05:01:23 WIB, Lok:0.67 LU,98.61 BT (89 km TimurLaut NIASSELATAN-SUMUT), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/q54MTLed1Q",[],[],[],0,88,192,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287509492846845952,False,,1,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287397032592842753,1287397032592842753,1595774345000,2020-07-26,21:39:05,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:3.2, 26/07/2020 21:18:14 (Pusat gempa di laut 22 km Barat Laut Lembata), Kedlmn:10 Km Dirasakan (MMI) II Lewoleba, #BMKG",[],[],[],0,23,78,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287397032592842753,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287396577808535552,1287396577808535552,1595774237000,2020-07-26,21:37:17,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:3.2, 26-Jul-20 21:18:14 WIB, Lok:8.36 LS, 123.31 BT (Pusat gempa berada di laut 22 km Barat Laut Lembata), Kedlmn:10 Km Dirasakan (MMI) II Lewoleba #BMKG pic.twitter.com/sU41U6kUhT",[],[],['https://pbs.twimg.com/media/Ed3AXU7UwAEoCsV.jpg'],1,15,80,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287396577808535552,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287359281143005184,1287359281143005184,1595765345000,2020-07-26,19:09:05,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:4, 26/07/2020 18:12:14 (Pusat gempa di darat 8 km Utara Kec. Mangkutana, Kab. Luwu), Kedlmn:10 Km Dirasakan (MMI) II Masamba, III Mangkutana, #BMKG",[],[],[],3,9,69,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287359281143005184,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287359080013545473,1287359080013545473,1595765297000,2020-07-26,19:08:17,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:4.0, 26-Jul-20 18:12:14 WIB, Lok:2.23 LS, 120.65 BT (Pusat gempa berada di darat 8 km Utara Kec. Mangkutana, Kab. Luwu Timur), Kedlmn:10 Km Dirasakan (MMI) II Masamba, III Mangkutana #BMKG pic.twitter.com/Mo9FnXltOZ",[],[],['https://pbs.twimg.com/media/Ed2eQqcUYAMfeOp.jpg'],0,21,70,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287359080013545473,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287351734520541185,1287351734520541185,1595763546000,2020-07-26,18:39:06,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:4, 26/07/2020 18:12:14 (Pusat gempa di darat 8 km Utara Kec. Mangkutana, Kab. Luwu), Kedlmn:10 Km Dirasakan (MMI) II Masamba, #BMKG",[],[],[],3,24,101,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287351734520541185,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
1287351391808139264,1287351391808139264,1595763464000,2020-07-26,18:37:44,WIB,108543358,infobmkg,BMKG,,"#Gempa Mag:4.0, 26-Jul-20 18:12:14 WIB, Lok:2.23 LS, 120.65 BT (Pusat gempa berada di darat 8 km Utara Kec. Mangkutana, Kab. Luwu Timur), Kedlmn:10 Km Dirasakan (MMI) II Masamba #BMKG pic.twitter.com/6tigcyUcCp",[],[],['https://pbs.twimg.com/media/Ed2XRIzVoAALBXW.jpg'],0,18,63,"['#gempa', '#bmkg']",[],https://twitter.com/infoBMKG/status/1287351391808139264,False,,0,,,,,,,"[{'user_id': '108543358', 'username': 'infoBMKG'}]",,,,
