Created at,Description,Favorite count,Followers Count,Friends Count,Hastag,Location,Profile Image Url,Retweet,Statuses Count,Text,User ID,User Name
Wed Dec 01 07:02:03 +0000 2021,Banyak hutang dan Mindset miskin 🙂,0.0,70.0,308.0,[],Mars Planet,http://pbs.twimg.com/profile_images/1457739392596938763/67zvW88b_normal.jpg,0.0,7803.0,Jadi ingat bapak² dikantor tanya gini 'Kamu ikut Menwa?' 🙂🙂 https://t.co/EduGW81NnH,1.465939230765437e+18,.
Wed Dec 01 07:01:16 +0000 2021,biasa2 aja..melawan para pelupa. Golongan darah AB,0.0,462.0,419.0,[],jogja istimewa,http://pbs.twimg.com/profile_images/440898049636704256/UHMuXpAb_normal.jpeg,3.0,27785.0,"RT @tempodotco: Mahasiswa menuntut pembubaran Menwa kepada rektorat UPN. Alasannya, kegiatan Menwa sudah tidak relevan dengan nilai reforma…",1.465939034249724e+18,Robert Supratman
Wed Dec 01 07:01:03 +0000 2021,"Official Account IDN Times | a multi-platform news and entertainment | Email: redaksi@idntimes.com | Baca Berita Tanpa Gangguan Iklan, download IDN App sekarang",3.0,406787.0,291.0,[],,http://pbs.twimg.com/profile_images/1304453870383366146/7lveeKGB_normal.jpg,0.0,616714.0,"Seorang mahasiswi Universitas Pembangunan Nasional (UPN) Veteran Jakarta, Fauziyah Nabila, meninggal dunia saat men… https://t.co/jyGI7Gshvo",1.4659389803403305e+18,IDN Times
Wed Dec 01 06:59:44 +0000 2021,,0.0,577.0,570.0,[],Bekasi,http://pbs.twimg.com/profile_images/1463206778175250437/_wWLhT1k_normal.jpg,580.0,24814.0,RT @tubirfess: 2beer! Menwa lagi menwa lagi 😶 ini kasus dari september ditutup tutupin pihak kampus baru kecium sekarang  💀💀 ini kalo ga ra…,1.4659386485666898e+18,Adi
Wed Dec 01 06:59:41 +0000 2021,kadang ngefangirl kadang jualan kadang ngehunter kadang sambat kadang bahagia kadang riweuh. WELCOME! I'M 🍷WINE🍷 || Kyuhyun 24/7 🌻,0.0,962.0,1631.0,[],,http://pbs.twimg.com/profile_images/1461546228399837192/djh3J8qy_normal.jpg,5.0,13690.0,RT @detikcom: Aliansi UPN Veteran Jakarta Bergerak meminta Menwa dibubarkan buntut tewasnya mahasiswi dalam acara pembaretan. https://t.co/…,1.4659386347674214e+18,😭KYU CB JANUARY 2022😭
Wed Dec 01 06:59:34 +0000 2021,"02l, she/her #스트레이키즈",0.0,411.0,525.0,[],STAY,http://pbs.twimg.com/profile_images/1410578938468790272/TTccAM9z_normal.jpg,1662.0,54836.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659386088633385e+18,Put
Wed Dec 01 06:58:25 +0000 2021,i see myself as an embodiment of 'one of those days',0.0,195.0,163.0,[],,http://pbs.twimg.com/profile_images/1396808110971363329/ygdjjbdQ_normal.jpg,1115.0,16844.0,"RT @collegemenfess: [cm] menwa lagi guys, kenapa nih 👀 https://t.co/6ArilQ80ZO",1.4659383164197478e+18,alya?
Wed Dec 01 06:57:58 +0000 2021,,0.0,397.0,514.0,[],,http://pbs.twimg.com/profile_images/1346522813419515904/tS2mj9SO_normal.jpg,1662.0,1396.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659382036349215e+18,Arra
Wed Dec 01 06:57:48 +0000 2021,so remember me; i will remember you - Qur'an 2:152,0.0,1202.0,614.0,[],CITY 127,http://pbs.twimg.com/profile_images/1458425018820427782/km2KpVMY_normal.jpg,1662.0,55352.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659381644306964e+18,pin
Wed Dec 01 06:57:11 +0000 2021,"SMAN 4 Makassar || My Day, Teume, Exo-L || 사랑해",0.0,142.0,1172.0,[],Indonesia,http://pbs.twimg.com/profile_images/1279423201676681219/I_kVw_ba_normal.jpg,1662.0,8560.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659380056259584e+18,mitt^^
Wed Dec 01 06:57:02 +0000 2021,,0.0,546.0,301.0,[],Surakarta,http://pbs.twimg.com/profile_images/1459163629480124418/0qHkjzfQ_normal.jpg,0.0,18170.0,@collegemenfess Menwa meneh wakakak,1.4659379697982546e+18,Drakèn
Wed Dec 01 06:55:45 +0000 2021,,0.0,619.0,812.0,[],Armygene,http://pbs.twimg.com/profile_images/1465322177813630980/PqOo7TMx_normal.jpg,1662.0,81363.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659376475289354e+18,Riss
Wed Dec 01 06:55:42 +0000 2021,I wrote movie & series reviews on @cinefoxxid,0.0,726.0,270.0,[],He/Him,http://pbs.twimg.com/profile_images/1449908999810207746/REfRA7Y3_normal.jpg,0.0,49467.0,"Jadi, seandainya kagak digubris ama mahasiswa tuh kasus Menwa bakalan hilang begitu aja dengan alasan ""Pihak keluar… https://t.co/5xpk5LiScu",1.4659376325804196e+18,Atez (Mode UAS)
Wed Dec 01 06:55:31 +0000 2021,"Bahagia tidak harus kaya,ismposible",0.0,4.0,74.0,[],,http://pbs.twimg.com/profile_images/1425647374483943424/BebzZBsi_normal.jpg,1662.0,4445.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.465937588838011e+18,Ulin Nuha
Wed Dec 01 06:55:07 +0000 2021,Akun resmi stasiun televisi berita Independen Terpercaya. FB: https://t.co/1r2RSJN5mh IG: https://t.co/7pIJrY4CnS YT: https://t.co/iHmi6jhGqS,6.0,3685900.0,538.0,[],Indonesia,http://pbs.twimg.com/profile_images/1430830041919721475/U7LgJ1pw_normal.jpg,2.0,552399.0,"Kembali Makan Korban, Ketua Komisi X Minta Nadiem Bekukan Sementara Diksar Menwa https://t.co/3VZIg1QE5z https://t.co/l5eHXm0vbl",1.4659374895504794e+18,KOMPAS TV
Wed Dec 01 06:55:04 +0000 2021,Fan Account ~ Lets moots army,0.0,118.0,121.0,[],,http://pbs.twimg.com/profile_images/1463442138432086020/DHlSe61u_normal.jpg,0.0,439.0,Menwa tuh apaa ya guys?,1.4659374762545357e+18,준이와이프🐨
Wed Dec 01 06:53:59 +0000 2021,kadang ngefangirl kadang jualan kadang ngehunter kadang sambat kadang bahagia kadang riweuh. WELCOME! I'M 🍷WINE🍷 || Kyuhyun 24/7 🌻,0.0,962.0,1631.0,[],,http://pbs.twimg.com/profile_images/1461546228399837192/djh3J8qy_normal.jpg,1.0,13690.0,RT @yungnikiii: Ga ada wajib militer aja udah banyak yg ngebunuh anak orang di menwa,1.4659372042497188e+18,😭KYU CB JANUARY 2022😭
Wed Dec 01 06:53:24 +0000 2021,"Teknik Elektronika PNC |
Engineering Epindo",0.0,36.0,43.0,[],"Cilacap Tengah, Indonesia",http://pbs.twimg.com/profile_images/1445178821246816256/e_u2J_mc_normal.jpg,0.0,1283.0,@AREAJULID kadang mikir kalo pp mungkin lebih safe ketimbang menwa,1.465937057109332e+18,se orang
Wed Dec 01 06:53:17 +0000 2021,"A day without sunshine is like, you know, night.",0.0,315.0,294.0,[],Jakarta,http://pbs.twimg.com/profile_images/1468066820456271878/xD-RpYrc_normal.jpg,5.0,59674.0,RT @detikcom: Aliansi UPN Veteran Jakarta Bergerak meminta Menwa dibubarkan buntut tewasnya mahasiswi dalam acara pembaretan. https://t.co/…,1.4659370278456115e+18,Aditra f zuhdi
Wed Dec 01 06:52:20 +0000 2021,kadang ngefangirl kadang jualan kadang ngehunter kadang sambat kadang bahagia kadang riweuh. WELCOME! I'M 🍷WINE🍷 || Kyuhyun 24/7 🌻,0.0,962.0,1631.0,"[{'text': 'FollowLINETODAY', 'indices': [60, 76]}]",,http://pbs.twimg.com/profile_images/1461546228399837192/djh3J8qy_normal.jpg,1.0,13690.0,RT @linetoday: Diksar Menwa semua kampus diminta dibekukan. #FollowLINETODAY! https://t.co/9q977vbxSs,1.465936787205804e+18,😭KYU CB JANUARY 2022😭
Wed Dec 01 06:52:07 +0000 2021,clue: aku suka anak tunggal kaya raya,0.0,1148.0,1233.0,[],cyber,http://pbs.twimg.com/profile_images/1462281750420230144/HT86j8dH_normal.jpg,1662.0,2672.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659367321640182e+18,nana
Wed Dec 01 06:51:35 +0000 2021,Bersama kuli membangun negeri,0.0,49.0,523.0,[],,http://pbs.twimg.com/profile_images/1284886262642380800/TOzcO6RI_normal.jpg,0.0,10271.0,@theyycallmebass kelar di menwa pindah haluan,1.4659365968809247e+18,akucelsi
Wed Dec 01 06:51:07 +0000 2021,,0.0,4100872.0,680.0,[],,http://pbs.twimg.com/profile_images/1467474599801614341/Uwm4A4He_normal.jpg,0.0,1564907.0,"Diksar Menwa Sering Telan Korban, Ketua Komisi X Minta Kegiatan Dievaluasi Total https://t.co/zhdJIb3Cav",1.465936482749743e+18,Liputan6.com
Wed Dec 01 06:51:07 +0000 2021,kadang ngefangirl kadang jualan kadang ngehunter kadang sambat kadang bahagia kadang riweuh. WELCOME! I'M 🍷WINE🍷 || Kyuhyun 24/7 🌻,0.0,962.0,1631.0,[],,http://pbs.twimg.com/profile_images/1461546228399837192/djh3J8qy_normal.jpg,7.0,13690.0,RT @CNNIndonesia: Ketua Komisi X DPR Minta Kemendikbud Bekukan Diksar Menwa Semua Kampus https://t.co/ErRT0Xf5wf,1.4659364813907886e+18,😭KYU CB JANUARY 2022😭
Wed Dec 01 06:51:07 +0000 2021,,0.0,32.0,48.0,[],,http://pbs.twimg.com/profile_images/1444503900267057152/qtt_o8_6_normal.jpg,1662.0,659.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659364801701724e+18,Lingga Febriyanto Pangestu
Wed Dec 01 06:51:02 +0000 2021,,0.0,359.0,230.0,[],"Klaten, Yogyakarta, Indonesia",http://pbs.twimg.com/profile_images/1356317448128122881/yN1FE2p6_normal.jpg,1662.0,3002.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.465936460507345e+18,STARDENBURNDENHARDENBART
Wed Dec 01 06:50:31 +0000 2021,"Semoga semuanya sehat dan baik-baik saja.
Semoga kemudahan dan keselamatan, selalu menyertai.
Panjang umur hal-hal baik.",0.0,358.0,347.0,[],Indonesia,http://pbs.twimg.com/profile_images/1304825835912753153/eajpDXdr_normal.jpg,17539.0,13315.0,"RT @putri_yudianti: Tragedi Menwa UNS 2013
(A thread)
.
.
.
Setelah berpikir panjang, akhirnya aku memutuskan untuk speak up di twitter. Tr…",1.465936329611481e+18,MH.
Wed Dec 01 06:50:19 +0000 2021,kadang ngefangirl kadang jualan kadang ngehunter kadang sambat kadang bahagia kadang riweuh. WELCOME! I'M 🍷WINE🍷 || Kyuhyun 24/7 🌻,0.0,962.0,1631.0,[],,http://pbs.twimg.com/profile_images/1461546228399837192/djh3J8qy_normal.jpg,1.0,13690.0,"RT @shitpil: @collegemenfess Menwa ada karena dulu mau jegal pki lha sekarang uda gak ada pki ngapain masih ada menwa.

Jangan selesaikan m…",1.4659362809323438e+18,😭KYU CB JANUARY 2022😭
Wed Dec 01 06:49:46 +0000 2021,Ora King Ora Cinta,0.0,2321.0,2083.0,[],Indonesia,http://pbs.twimg.com/profile_images/1467459438785167360/gzupq0p7_normal.jpg,3.0,99647.0,"RT @tempodotco: Mahasiswa menuntut pembubaran Menwa kepada rektorat UPN. Alasannya, kegiatan Menwa sudah tidak relevan dengan nilai reforma…",1.4659361393159414e+18,Yang Dicinta
Wed Dec 01 06:48:02 +0000 2021,"living on the other side of the world, beneath the surface.",0.0,542.0,420.0,[],"Jakarta Selatan, DKI Jakarta",http://pbs.twimg.com/profile_images/1452395186743504900/8KTelzKs_normal.jpg,1662.0,23418.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659357035109048e+18,ren-aldi
Wed Dec 01 06:47:47 +0000 2021,"Official Twitter account of Tempo Media Group. Follow us for breaking news, current events, special reports, and something more from https://t.co/aR6kgV38kn.",15.0,1919736.0,25.0,[],Indonesia,http://pbs.twimg.com/profile_images/1190442063155924993/ij-II_tt_normal.png,3.0,988096.0,"Mahasiswa menuntut pembubaran Menwa kepada rektorat UPN. Alasannya, kegiatan Menwa sudah tidak relevan dengan nilai… https://t.co/X5U4sHOzWl",1.4659356422825083e+18,TEMPO.CO
Wed Dec 01 06:47:17 +0000 2021,Chill,0.0,0.0,33.0,[],,http://pbs.twimg.com/profile_images/1451715401901961223/i0K_Ubdp_normal.png,6.0,781.0,RT @CNNIndonesia: UPN Veteran Jakarta Bekukan Menwa Usai Mahasiswa Meninggal https://t.co/MrZQ02zKPA,1.4659355142723543e+18,Aria Junot
Wed Dec 01 06:47:08 +0000 2021,yolo,0.0,0.0,111.0,[],,http://pbs.twimg.com/profile_images/1359874789175795721/-hRRqhop_normal.jpg,70.0,398.0,"RT @Syachrudin14: Welcome to Desember !!
---------

Ribka
Villa
Menwa https://t.co/2XZCz1Gfzh",1.4659354789101855e+18,It
Wed Dec 01 06:46:15 +0000 2021,Berharta dan Berarti,0.0,1331.0,445.0,[],"Jember, Malang, Jakarta.",http://pbs.twimg.com/profile_images/1420262417158742026/5PV-ZzEN_normal.jpg,1662.0,43486.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659352575347507e+18,kubik
Wed Dec 01 06:46:08 +0000 2021,damaged as it is,0.0,6.0,169.0,[],,http://pbs.twimg.com/profile_images/1431921010375155715/eWVMcVzQ_normal.jpg,0.0,1627.0,@AREAJULID Menwa gapenting,1.465935227730088e+18,🧐
Wed Dec 01 06:46:04 +0000 2021,,3.0,27.0,98.0,[],,http://pbs.twimg.com/profile_images/1446834679550677005/Ok6eWqUC_normal.jpg,1.0,1038.0,"@collegemenfess Menwa ada karena dulu mau jegal pki lha sekarang uda gak ada pki ngapain masih ada menwa.

Jangan s… https://t.co/yFY6Huu80H",1.4659352105082593e+18,G0HAN
Wed Dec 01 06:45:23 +0000 2021,"I am, at best, an amused onlooker.",0.0,10209.0,900.0,[],People's Republic of Pineland,http://pbs.twimg.com/profile_images/930621702555492353/wwpVyJIh_normal.jpg,0.0,120387.0,"@EnricoE39 Menwa bisa commissioning itu bagus karena bisa banyak Perwira dengan latar belakang pendidikan, skill, d… https://t.co/P93UhGcerW",1.465935037812015e+18,Ruli Harahap
Wed Dec 01 06:43:55 +0000 2021,#2019GantiPresiden# wajib hkum nya.,0.0,771.0,910.0,[],Indonesia,http://pbs.twimg.com/profile_images/1293927807219691520/ZTAAMxG4_normal.jpg,18.0,102999.0,"RT @OposisiCerdas: Detik-detik Mahasiswi UPN Veteran Jakarta Tewas Usai Ikut Menwa
https://t.co/Ww7Znuq2MB",1.4659346678534062e+18,uzumaki asyril 46
Wed Dec 01 06:43:49 +0000 2021,"just call me Ay, thx",0.0,47.0,448.0,[],,http://pbs.twimg.com/profile_images/1455769891810643975/o2hyfUKA_normal.jpg,1662.0,2739.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.4659346455145677e+18,kar🤍
Wed Dec 01 06:43:30 +0000 2021,"I am, at best, an amused onlooker.",0.0,10209.0,900.0,[],People's Republic of Pineland,http://pbs.twimg.com/profile_images/930621702555492353/wwpVyJIh_normal.jpg,0.0,120387.0,"@EnricoE39 Ya kalau gitu, menurut gue sih, Menwa buat apa? Apalagi udah ada KOMCAD, jadi redundant dan program/cour… https://t.co/EVHWR9OqmL",1.4659345660744376e+18,Ruli Harahap
Wed Dec 01 06:43:22 +0000 2021,"Who control the memes, control the universe | Let's be friends | M 24",0.0,652.0,691.0,[],,http://pbs.twimg.com/profile_images/1440660102202081286/dVHJhOgB_normal.jpg,580.0,970.0,RT @tubirfess: 2beer! Menwa lagi menwa lagi 😶 ini kasus dari september ditutup tutupin pihak kampus baru kecium sekarang  💀💀 ini kalo ga ra…,1.465934530871632e+18,Diso
Wed Dec 01 06:43:14 +0000 2021,,0.0,53.0,111.0,[],1306,http://pbs.twimg.com/profile_images/1306547864626061312/iNs7XsbZ_normal.jpg,580.0,18314.0,RT @tubirfess: 2beer! Menwa lagi menwa lagi 😶 ini kasus dari september ditutup tutupin pihak kampus baru kecium sekarang  💀💀 ini kalo ga ra…,1.465934498218926e+18,icha
Wed Dec 01 06:41:57 +0000 2021,apa?,0.0,0.0,63.0,[],,http://pbs.twimg.com/profile_images/1456477712890347520/uXn-fzqq_normal.jpg,0.0,180.0,@tanyakanrl Menwa itu menahan tawa?,1.4659341741921608e+18,Lee Jeno ◜‿◝
Wed Dec 01 06:41:46 +0000 2021,👌,0.0,475.0,244.0,[],,http://pbs.twimg.com/profile_images/1298814316829790208/meFeimG__normal.jpg,1662.0,28267.0,"RT @AREAJULID: Dis! Menwa lagi menwa lagii ,apa masih ttp organisasi ini ttp adaa? https://t.co/XLC2p5MrjW",1.465934127228592e+18,🔻
Wed Dec 01 06:41:45 +0000 2021,QU LAW Student ⚖️,0.0,1194.0,453.0,[],,http://pbs.twimg.com/profile_images/1447408052601344000/GV_suKMV_normal.jpg,921.0,15507.0,RT @ll9i3i: أنا : https://t.co/scpSSWRdi2,1.465934124498264e+18,MENWA🔱
Wed Dec 01 06:40:43 +0000 2021,"#INDONESIAMAJU🇮🇩
#INDONESIAJAYA🇮🇩
#AYOJAGANKRI🇮🇩
#MAJUTERUSINDONESIAKU🇮🇩",0.0,3798.0,86.0,[],"Tulungagung, Indonesia",http://pbs.twimg.com/profile_images/1465012041886822402/XHaG84Mw_normal.jpg,6.0,1533510.0,RT @CNNIndonesia: UPN Veteran Jakarta Bekukan Menwa Usai Mahasiswa Meninggal https://t.co/MrZQ02zKPA,1.4659338634907525e+18,🇮🇩🇯🇴Piyu anker🇯🇴🇮🇩
Wed Dec 01 06:40:06 +0000 2021,suka suka nana,0.0,1155.0,990.0,[],,http://pbs.twimg.com/profile_images/1441452241634820099/DgUYTLbF_normal.jpg,0.0,20143.0,Baru tau kalo menwa semengerikan itu😿,1.4659337099036795e+18,naaaa
Wed Dec 01 06:40:05 +0000 2021,They tried to bury us. They didn't know we were seeds. 🌱,0.0,536.0,580.0,[],,http://pbs.twimg.com/profile_images/1452661067784462341/5_TmyyjI_normal.jpg,0.0,31220.0,@Akucelsi Itu steven menwa?,1.4659337036751872e+18,farah
Wed Dec 01 06:38:47 +0000 2021,"#INDONESIAMAJU🇮🇩
#INDONESIAJAYA🇮🇩
#AYOJAGANKRI🇮🇩
#MAJUTERUSINDONESIAKU🇮🇩",0.0,3798.0,86.0,[],"Tulungagung, Indonesia",http://pbs.twimg.com/profile_images/1465012041886822402/XHaG84Mw_normal.jpg,2.0,1533510.0,RT @detikcom: Komando Nasional Menwa Indonesia menyebut tak unsur kekerasan dalam peristiwa itu. Begini penjelasannya: https://t.co/XBN5vmA…,1.4659333757855007e+18,🇮🇩🇯🇴Piyu anker🇯🇴🇮🇩
Wed Dec 01 06:38:09 +0000 2021,I ❤ Allah,0.0,724.0,27.0,[],,http://pbs.twimg.com/profile_images/1405541612072046593/zWwLPbW6_normal.jpg,6.0,332844.0,RT @CNNIndonesia: UPN Veteran Jakarta Bekukan Menwa Usai Mahasiswa Meninggal https://t.co/MrZQ02zKPA,1.4659332176602276e+18,Yolan
Wed Dec 01 06:37:25 +0000 2021,,0.0,418.0,378.0,[],Bikini Bottom,http://pbs.twimg.com/profile_images/1458070323757080577/m-V4dI0c_normal.jpg,1115.0,11889.0,"RT @collegemenfess: [cm] menwa lagi guys, kenapa nih 👀 https://t.co/6ArilQ80ZO",1.4659330316554404e+18,Duta Rebahan🌼
Wed Dec 01 06:37:15 +0000 2021,I ❤ Allah,0.0,724.0,27.0,[],,http://pbs.twimg.com/profile_images/1405541612072046593/zWwLPbW6_normal.jpg,2.0,332844.0,RT @detikcom: Komando Nasional Menwa Indonesia menyebut tak unsur kekerasan dalam peristiwa itu. Begini penjelasannya: https://t.co/XBN5vmA…,1.4659329918052884e+18,Yolan
